1705,Kh5P2VQm,0.482758621,0.344827586,0.172413793,,,,,
1706,KlFDoXjk,0.517241379,0.310344828,0.172413793,,,,,
1707,KlgrWii2,0.379310345,0.310344828,0.310344828,,,,,
1708,MDaC6YSE,0.24137931,0.137931034,0.620689655,,,,,
1709,MHRcQ4K8,0.482758621,0.24137931,0.275862069,,,,,
1710,MJGHTbV3,0.137931034,0.137931034,0.724137931,,,,,
1711,MJOcqvrI,0.344827586,0.275862069,0.379310345,,,,,
1712,MLsa53rq,0.620689655,0.24137931,0.137931034,,,,,
1713,MNj5lKlt,0.413793103,0.172413793,0.413793103,,,,,
1714,Ma29IJ4C,0.379310345,0.275862069,0.344827586,,,,,
1715,MgXQfyU2,0.517241379,0.344827586,0.137931034,,,,,
1716,MsR7e8KD,0.517241379,0.344827586,0.137931034,,,,,
1717,O2mywrKh,0.310344828,0.24137931,0.448275862,,,,,
1718,OSOvYb4a,0.517241379,0.275862069,0.206896552,,,,,
1719,OnmiHUus,0.793103448,0.137931034,0.068965517,,,,,
1720,QH4HZWd1,0.344827586,0.275862069,0.379310345,,,,,
1721,QHUXwO4n,0.75862069,0.172413793,0.068965517,,,,,
1722,QRF9nDyq,0.24137931,0.344827586,0.413793103,,,,,
1723,Qia0Lzwp,0.586206897,0.275862069,0.137931034,,,,,
1724,S090Kuz0,0.275862069,0.137931034,0.586206897,,,,,
1725,S0VVZKZn,0.344827586,0.517241379,0.137931034,,,,,
1726,SG1LMjIJ,0.620689655,0.24137931,0.137931034,,,,,
1727,SOepb7uJ,0.793103448,0.137931034,0.068965517,,,,,
1728,SbCgPqvI,0.413793103,0.310344828,0.275862069,,,,,
1729,SdHDUvGc,0.172413793,0.310344828,0.517241379,,,,,
1730,Svp8Dnu6,0.620689655,0.206896552,0.172413793,,,,,
1731,SxV5KZmm,0.275862069,0.448275862,0.275862069,,,,,
1732,UJzZhFbF,0.75862069,0.172413793,0.068965517,,,,,
1733,UN2KCoj9,0.068965517,0.413793103,0.517241379,,,,,
1734,UqS5sICU,0.310344828,0.344827586,0.344827586,,,,,
1735,Uqr4bkWi,0.379310345,0.310344828,0.310344828,,,,,
1736,WCjUrGIH,0.482758621,0.275862069,0.24137931,,,,,
1737,WUq0usCP,0.75862069,0.172413793,0.068965517,,,,,
1738,WbBeUG3O,0.448275862,0.310344828,0.24137931,,,,,
1739,Wf5DzDse,0.172413793,0.206896552,0.620689655,,,,,
1740,WfVTv4kt,0.482758621,0.172413793,0.344827586,,,,,
1741,WfXr5fl0,0.482758621,0.172413793,0.344827586,,,,,
1742,WjcKcqqi,0.517241379,0.379310345,0.103448276,,,,,
1743,Wz9dr4q4,0.413793103,0.310344828,0.275862069,,,,,
1744,YHCZrAW4,0.413793103,0.379310345,0.206896552,,,,,
1745,YXjWYg7q,0.517241379,0.344827586,0.137931034,,,,,
1746,YczN7H8p,0.413793103,0.379310345,0.206896552,,,,,
1747,YwWRz1Kt,0.24137931,0.103448276,0.655172414,,,,,
1748,b3S5vMrT,0.275862069,0.24137931,0.482758621,,,,,
1749,b3lyf1rG,0.517241379,0.310344828,0.172413793,,,,,
1750,b5u4ESPa,0.172413793,0.379310345,0.448275862,,,,,
1751,bJKxTRvg,0.310344828,0.344827586,0.344827586,,,,,
1752,bNAlpQEi,0.655172414,0.172413793,0.172413793,,,,,
1753,bPyrjhsr,0.793103448,0.172413793,0.034482759,,,,,
1754,bq4T1ktf,0.103448276,0.448275862,0.448275862,,,,,
1755,buEHpi6e,0.172413793,0.448275862,0.379310345,,,,,
1756,dIMMGimC,0.344827586,0.24137931,0.413793103,,,,,
1757,dW1eVj25,0.103448276,0.103448276,0.793103448,,,,,
1758,dfvzQeQP,0.103448276,0.344827586,0.551724138,,,,,
1759,dtqIoIYb,0.275862069,0.206896552,0.517241379,,,,,
1760,dvzC21S1,0.551724138,0.206896552,0.24137931,,,,,
1761,dx9UQdFM,0.620689655,0.206896552,0.172413793,,,,,
1762,dxVatxF9,0.344827586,0.172413793,0.482758621,,,,,
1763,f77QrVz8,0.310344828,0.24137931,0.448275862,,,,,
1764,f7gC21rt,0.75862069,0.206896552,0.034482759,,,,,
1765,fBLpADYD,0.24137931,0.206896552,0.551724138,,,,,
1766,fBcx0TA6,0.448275862,0.206896552,0.344827586,,,,,
1767,fD0HGcZO,0.24137931,0.137931034,0.620689655,,,,,
1768,fV70dWKD,0.655172414,0.206896552,0.137931034,,,,,
1769,h2ZjajLl,0.586206897,0.344827586,0.068965517,,,,,
1770,h469ygSl,0.689655172,0.24137931,0.068965517,,,,,
1771,h6oTeND3,0.379310345,0.275862069,0.344827586,,,,,
1772,hpAhqpUc,0.344827586,0.413793103,0.24137931,,,,,
1773,hraFfYYQ,0.172413793,0.068965517,0.75862069,,,,,
1774,hruhZaJH,0.448275862,0.206896552,0.344827586,,,,,
1775,htKtSofa,0.482758621,0.310344828,0.206896552,,,,,
1776,hv5vZY2t,0.275862069,0.206896552,0.517241379,,,,,
1777,hzgduVtp,0.482758621,0.379310345,0.137931034,,,,,
1778,j1TJiPdn,0.793103448,0.172413793,0.034482759,,,,,
1779,j3rMpxl5,0.413793103,0.413793103,0.172413793,,,,,
1780,jJ0L3BBs,0.482758621,0.206896552,0.310344828,,,,,
1781,jVICwFfP,0.517241379,0.172413793,0.310344828,,,,,
1782,jZOsigTR,0.310344828,0.448275862,0.24137931,,,,,
1783,ja8YPGUS,0.655172414,0.172413793,0.172413793,,,,,
1784,jgT1rbcO,0.75862069,0.137931034,0.103448276,,,,,
1785,jgq0aVGo,0.724137931,0.137931034,0.137931034,,,,,
1786,jwPctrEG,0.172413793,0.206896552,0.620689655,,,,,
1787,jwiTAPKL,0.275862069,0.172413793,0.551724138,,,,,
1788,l6bmXCXh,0.724137931,0.137931034,0.137931034,,,,,
1789,l8DkQPOB,0.482758621,0.24137931,0.275862069,,,,,
1790,lAAdLLKg,0.482758621,0.275862069,0.24137931,,,,,
1791,lAEg8i3Q,0.482758621,0.275862069,0.24137931,,,,,
1792,lUSacUk1,0.310344828,0.172413793,0.517241379,,,,,
1793,lUWpntba,0.24137931,0.344827586,0.413793103,,,,,
1794,lWsv6zZg,0.448275862,0.310344828,0.24137931,,,,,
1795,lYdtamQC,0.310344828,0.206896552,0.482758621,,,,,
1796,lfYGBQ9I,0.206896552,0.206896552,0.586206897,,,,,
1797,lhJEIDIa,0.75862069,0.206896552,0.034482759,,,,,
1798,ll1Pqd3B,0.689655172,0.172413793,0.137931034,,,,,
1799,lzMjVdlI,0.310344828,0.24137931,0.448275862,,,,,
1800,n7m9JE7d,0.551724138,0.275862069,0.172413793,,,,,
1801,nTMSk3Rb,0.793103448,0.137931034,0.068965517,,,,,
1802,nuiKApPO,0.379310345,0.344827586,0.275862069,,,,,
1803,nyROcwcB,0.551724138,0.172413793,0.275862069,,,,,
1804,p0O1u2TM,0.862068966,0.137931034,0,,,,,
1805,p2FaTzJU,0.448275862,0.206896552,0.344827586,,,,,
1806,pIypyMl5,0.724137931,0.137931034,0.137931034,,,,,
1807,pK6po6ao,0.379310345,0.172413793,0.448275862,,,,,
1808,pbym4E36,0.448275862,0.24137931,0.310344828,,,,,
1809,ptvfmjR0,0.551724138,0.275862069,0.172413793,,,,,
1810,rTPgpKSB,0.137931034,0.103448276,0.75862069,,,,,
1811,rTciWWna,0.206896552,0.172413793,0.620689655,,,,,
,,,,,,,,,
1813,rgXBwzaS,0.24137931,0.137931034,0.620689655,,,,,
1814,riS3dl57,0.586206897,0.24137931,0.172413793,,,,,
1815,ry4xZa6j,0.448275862,0.24137931,0.310344828,,,,,
1816,t4ZZYvkg,0.413793103,0.379310345,0.206896552,,,,,
1817,t6vW7d4s,0.275862069,0.310344828,0.413793103,,,,,
1818,t8X2oUeD,0.24137931,0.103448276,0.655172414,,,,,
1819,t8gY09e0,0.620689655,0.24137931,0.137931034,,,,,
1820,tOeOaaSb,0.689655172,0.172413793,0.137931034,,,,,
1821,tQn4czk8,0.275862069,0.379310345,0.344827586,,,,,
1822,tbQSdcCH,0.275862069,0.344827586,0.379310345,,,,,
1823,tjMWlNt5,0.275862069,0.24137931,0.482758621,,,,,
1824,tnt4xEeo,0.551724138,0.275862069,0.172413793,,,,,
1825,vL8LYjC7,0.586206897,0.24137931,0.172413793,,,,,
1826,vLzi3YIC,0.75862069,0.137931034,0.103448276,,,,,
1827,vei0UAHB,0.655172414,0.275862069,0.068965517,,,,,
1828,vsCRFB2I,0.206896552,0.206896552,0.586206897,,,,,
1829,vwfxsfmU,0.793103448,0.137931034,0.068965517,,,,,
1830,xSUUEVHO,0.517241379,0.310344828,0.172413793,,,,,
1831,xjieGlem,0.448275862,0.344827586,0.206896552,,,,,
1832,z7UdYJYN,0.137931034,0.24137931,0.620689655,,,,,
1833,zNtirbpc,0.793103448,0.137931034,0.068965517,,,,,
1834,zROebAze,0.689655172,0.24137931,0.068965517,,,,,
1835,zTB4xZCr,0.379310345,0.344827586,0.275862069,,,,,
1836,zar1vkdj,0.137931034,0.137931034,0.724137931,,,,,
1837,zmlHDRz3,0.482758621,0.310344828,0.206896552,,,,,
,,,,,,,,,
,,,,,,,,,
zROebAze,0.689655172,0.24137931,0.068965517,,,,,,
4xkH5hrL,0.517241379,0.344827586,0.137931034,,,,,,
EBzm0W5r,0.310344828,0.344827586,0.344827586,,1812,rTmL4CcR,0.310344828,0.344827586,0.344827586
riS3dl57,0.586206897,0.24137931,0.172413793,,,,,,
hzgduVtp,0.482758621,0.379310345,0.137931034,,,,,,
MsR7e8KD,0.517241379,0.344827586,0.137931034,,,,,,
rTmL4CcR,0.310344828,0.344827586,0.344827586,,,,,,
MDaC6YSE,0.24137931,0.137931034,0.620689655,,,,,,
lUSacUk1,0.310344828,0.172413793,0.517241379,,,,,,
h2ZjajLl,0.586206897,0.344827586,0.068965517,,,,,,
